Issue Id,Project Key,Issue Type,Summary,Description,Status,Assignee,Labels,Parent Id
100,FA,Task,Init Project,"Bootstrap Vite + React + TS; set up ESLint/Prettier; configure tsconfig.",Done,Ramadan,frontend,
101,FA,Sub-task,Create Vite app,"Initialize project scaffold with Vite+React+TS.",Done,Ramadan,frontend,100
102,FA,Sub-task,Configure tooling,"Add ESLint, Prettier, TypeScript config.",Done,Ramadan,frontend,100

110,FA,Task,Layout.tsx,"Create top nav with NavLink, add Outlet and footer.",Done,Ramadan,frontend,
111,FA,Sub-task,Build navigation,"Implement header with links and active styles.",Done,Ramadan,frontend,110
112,FA,Sub-task,Main shell,"Add <Outlet/> area and footer.",Done,Ramadan,frontend,110

120,FA,Task,Create Routing,"Define routes for Dashboard, Exercises, ExerciseDetail, Log, Progress and wire into App.",To Do,Ramadan,frontend,
121,FA,Sub-task,Define route table,"Add <Routes> and nested <Route> in App.tsx.",To Do,Ramadan,frontend,120
122,FA,Sub-task,Hook links in layout,"Connect Layout links to routes.",To Do,Ramadan,frontend,120

130,FA,Task,Wire App Shell,"Mount app with BrowserRouter and StoreProvider.",In Progress,Ramadan,frontend,
131,FA,Sub-task,Router provider,"Wrap app in <BrowserRouter>.",In Progress,Ramadan,frontend,130
132,FA,Sub-task,Store provider,"Provide global store context.",In Progress,Ramadan,frontend,130

200,FA,Task,Implement global store,"Create types, reducer (INIT_SEED, SET_LOGS, ADD_LOG), context provider.",In Progress,Denis,frontend,
201,FA,Sub-task,Define types,"Exercise, LogEntry, SetEntry and State.",In Progress,Denis,frontend,200
202,FA,Sub-task,Reducer actions,"Implement INIT_SEED, SET_LOGS, ADD_LOG with persistence.",In Progress,Denis,frontend,200

210,FA,Task,Persist logs in localStorage,"Load bb_logs on boot; write on ADD_LOG.",Done,Denis,frontend,
211,FA,Sub-task,Load on boot,"useEffect to hydrate logs from storage.",Done,Denis,frontend,210
212,FA,Sub-task,Save on change,"Write to storage inside reducer.",Done,Denis,frontend,210

220,FA,Task,Selectors for muscles and logs,"indexExercisesById, getAllMuscles, logsByExercise.",To Do,Denis,frontend,
221,FA,Sub-task,Muscles list,"Collect unique muscles sorted alphabetically.",To Do,Denis,frontend,220
222,FA,Sub-task,Logs grouping,"Group logs by exerciseId.",To Do,Denis,frontend,220

300,FA,Task,Exercises page,"Seed init, persist bb_exercises, filter by muscle/equipment/difficulty.",In Progress,Gino,frontend,
301,FA,Sub-task,Load seed,"Import seed and write to storage if empty.",In Progress,Gino,frontend,300
302,FA,Sub-task,Filter logic,"Memoized filter across state.exercises.",In Progress,Gino,frontend,300

310,FA,Task,ExerciseCard component,"Display name, muscles, equipment chips; link to detail.",To Do,Gino,frontend,
311,FA,Sub-task,Card layout,"Create responsive card with tags.",To Do,Gino,frontend,310
312,FA,Sub-task,Routing link,"Link card to /exercises/:id.",To Do,Gino,frontend,310

320,FA,Task,ExerciseDetail page,"Show details and link to quick logging.",Done,Gino,frontend,
321,FA,Sub-task,Render details,"Primary/secondary muscles, equipment, instructions.",Done,Gino,frontend,320
322,FA,Sub-task,Log link,"Deep link to /log?exerciseId=...",Done,Gino,frontend,320

400,FA,Task,Quick Log page,"Implement quick logging UI to select exercise, manage dynamic sets, validate input, and persist via store. Support deep-link preselection (?exerciseId=...). AC: User can add/remove sets; inputs constrained (reps>=1, weight>=0, step=0.5); Save enabled only when exercise selected and >=1 set; On save: entry appears in store & localStorage; success feedback shown.",In Progress,Jan,frontend,
401,FA,Sub-task,Dynamic sets,"Build list UI for sets with number inputs (reps, weightKg). Defaults {reps:8, weightKg:20}. Actions: add row, remove row. Validation: reps integer>=1; weightKg>=0 step 0.5. AC: Updating inputs updates state; removing deletes the correct row; keyboard interaction works.",In Progress,Jan,frontend,400
402,FA,Sub-task,Save handler,"Create save() to assemble LogEntry {id, dateISO, exerciseId, sets, credits}. Dispatch ADD_LOG and persist to localStorage. Disable while invalid. AC: After save, entry exists in store and storage; form resets or success message is shown; no duplicate writes.",In Progress,Jan,frontend,400

